"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1381 Laholm","General grants and equalisation grants",161147,162906,172419,175548,189105,193785,202776,212068,211919,228801,223711,239297,264998,253291,246801,252940,249224,271892,320994,340594,378960,394074,485868,488649,478487
"1381 Laholm","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-5478,65558,39245,54935
"1381 Laholm","Financial income",6667,8518,7560,4626,2189,8403,6300,8900,4897,7800,13745,11942,5549,7539,7556,14215,3703,5174,4975,4375,11875,23273,5151,4217,6046
"1381 Laholm","Financial costs",-527,-122,-159,-3303,-7972,-1534,-1900,-1700,-1809,-2070,-8297,-874,-2050,-5813,-3006,-8488,-2023,-1448,-1188,-2330,-3114,-3686,-3542,-2564,-3779
"1381 Laholm","Net profit/loss after financial items",-1483,9081,1147,10086,-682,-19313,-7328,12192,38426,14266,-191,36038,58860,32786,23817,41216,16348,13103,30578,29397,25169,14110,67166,40898,57202
"1381 Laholm","Net profit/loss for the year",-1483,9081,1147,10086,-682,-16960,-6028,12192,38426,14266,-191,36038,58860,32786,23817,41216,16348,13103,30578,29397,25169,14110,67166,40898,57202
"1382 Falkenberg","Total income for operations",342664,228385,232424,275153,293328,285991,283541,273709,310508,323774,369552,378470,389199,414537,416088,368219,326399,431744,536663,565639,555554,582130,586299,624385,626468
"1382 Falkenberg","Total costs for operations",-1269668,-1242084,-1315105,-1368219,-1458976,-1553941,-1620555,-1658016,-1747649,-1808947,-1990043,-2093225,-2180404,-2234387,-2238413,-2233300,-2262924,-2440859,-2633131,-2814550,-2896679,-3056779,-3136842,-3221896,-3356393
"1382 Falkenberg","Total net current costs",-990390,-1071743,-1145092,-1153406,-1233297,-1341336,-1418311,-1463486,-1517819,-1572436,-1726303,-1778151,-1848083,-1882191,-1886308,-1936981,-2032319,-2086708,-2196788,-2349476,-2439517,-2588196,-2677749,-2747878,-2901415
"1382 Falkenberg","Tax revenues",716407,768003,835924,900036,938473,969145,994346,1053706,1135766,1195424,1308137,1342181,1368561,1428661,1468639,1530837,1573684,1652618,1733336,1818030,1872078,1935605,1946121,2070419,2212281
"1382 Falkenberg","General grants and equalisation grants",284814,288969,285850,292971,327439,348900,379820,397386,404411,419040,446943,461211,510485,499911,495880,480433,495829,498685,537481,612266,590275,635347,772088,819661,859053
"1382 Falkenberg","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-17244,40460,142202,169919
"1382 Falkenberg","Financial income",9965,19325,20963,25123,26382,32558,24242,32900,44263,60123,68400,28707,27153,42472,47166,36000,27200,9670,36693,22711,41581,43081,45115,40880,34686
"1382 Falkenberg","Financial costs",-19506,-10126,-16125,-26271,-21816,-15671,-13209,-18891,-26744,-46418,-64665,-17235,-16303,-42334,-34817,-33600,-22421,-9943,-11320,-11348,-5251,-18884,-22941,-17768,-36882
"1382 Falkenberg","Net profit/loss after financial items",483,-7955,-18480,37928,37181,-6404,-33112,1615,39877,55733,32077,36713,39009,46519,90560,76689,41973,64322,99402,92183,59166,6953,62634,165314,167723
"1382 Falkenberg","Net profit/loss for the year",483,-28741,-18480,37928,37181,-6404,-33112,1615,39877,55733,32077,36713,39009,46519,90560,76689,41973,64322,99402,92183,59166,6953,62634,165314,167723
"1383 Varberg","Total income for operations",364644,375914,360181,372725,397260,446894,459427,449438,456808,479751,495500,417030,516187,500807,542809,557064,554049,637096,819392,816120,827459,843297,802895,1074755,847960
"1383 Varberg","Total costs for operations",-1561025,-1693840,-1697366,-1787454,-1942225,-2047986,-2112407,-2186666,-2267271,-2355981,-2491370,-2592077,-2691883,-2814287,-2891808,-2997735,-3095442,-3292250,-3617222,-3790687,-3823367,-3975101,-4072538,-4271239,-4463919
"1383 Varberg","Total net current costs",-1268971,-1405890,-1455291,-1546509,-1631984,-1695682,-1772602,-1855631,-1951651,-2051974,-2144644,-2251000,-2256896,-2398372,-2439608,-2529770,-2637404,-2761023,-2911605,-3108242,-3160729,-3311039,-3472715,-3421598,-3874998
"1383 Varberg","Tax revenues",1012634,1094974,1187592,1285326,1348477,1373432,1459569,1537685,1658992,1758990,1865981,1901774,1977053,2085593,2145294,2243211,2319796,2448228,2605338,2733837,2805886,2911326,2942116,3122655,3343790
"1383 Varberg","General grants and equalisation grants",288897,286720,306541,305680,344974,346569,338457,375981,371968,380357,367972,387160,423859,396648,389104,380827,390888,363440,377231,395434,449536,497421,672128,699273,754559
"1383 Varberg","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97708,141529,400330,223351
"1383 Varberg","Financial income",14867,11895,12430,13708,10505,13106,8325,7728,14856,37505,43813,25135,42399,70650,81969,100173,104149,96401,97909,98574,83898,83405,73401,53387,80603
"1383 Varberg","Financial costs",-16201,-14071,-14039,-12862,-12402,-15222,-14570,-14944,-18202,-24589,-34592,-16346,-34827,-63151,-63190,-83588,-79787,-79018,-79088,-69497,-63123,-65600,-61594,-40451,-54882
"1383 Varberg","Net profit/loss after financial items",30759,-28574,34332,45343,59569,22201,19177,50817,75963,100226,98530,46723,151588,91368,113569,110853,97642,68028,89785,50106,115468,115513,153336,413266,249072
"1383 Varberg","Net profit/loss for the year",30759,-29565,34332,45343,59569,22201,19177,50817,75963,100226,98530,46723,151588,91368,113569,110853,97642,68028,89785,188249,115468,115513,153336,413266,249072
"1384 Kungsbacka","Total income for operations",408597,409615,368079,401706,421788,475100,516434,520541,571282,571364,588433,700862,710191,700383,792469,881518,845389,1020048,1128229,1210688,1146288,1182899,1252506,1183892,1470955
"1384 Kungsbacka","Total costs for operations",-1863669,-1924145,-2016179,-2152657,-2342461,-2552551,-2639185,-2765890,-2923379,-3124682,-3373349,-3604937,-3751427,-3956075,-4078205,-4238594,-4390168,-4783145,-5157820,-5346301,-5462961,-5709522,-5728991,-5862548,-6105336
"1384 Kungsbacka","Total net current costs",-1574548,-1639636,-1773400,-1896745,-2072994,-2223068,-2312470,-2423640,-2536996,-2783844,-3022681,-3070730,-3210057,-3428616,-3476619,-3573456,-3773935,-4013265,-4288969,-4415974,-4609955,-4841153,-4820518,-5052115,-5051854
"1384 Kungsbacka","Tax revenues",1431192,1546768,1703215,1942082,2084917,2229862,2371716,2454454,2637697,2810663,3004979,3092346,3163247,3280875,3419080,3608953,3723466,3922617,4153926,4346612,4484629,4660906,4751671,5022348,5351280
"1384 Kungsbacka","General grants and equalisation grants",63035,54439,55164,58543,53769,46843,30204,94236,91034,110589,107336,100403,262407,270965,196831,200783,168683,143918,164951,200578,225786,331644,473957,485098,431572
"1384 Kungsbacka","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,151397,405110,455331,730998
"1384 Kungsbacka","Financial income",13194,11613,8700,6500,14030,6227,13075,15328,12437,13612,8594,20979,17861,20837,16107,10375,17698,8096,11638,13519,20061,16297,13308,10996,15359
"1384 Kungsbacka","Financial costs",-30038,-32562,-30999,-29421,-24833,-14691,-10302,-8123,-9277,-11353,-15942,-14516,-12652,-41621,-21407,-47978,-18897,-15443,-15537,-13273,-10727,-21446,-22251,-20135,-31829
"1384 Kungsbacka","Net profit/loss after financial items",-97165,-59378,-37321,80959,54889,45173,92223,132255,194895,139667,79429,124963,215552,102440,133992,198677,117015,45923,26009,131462,109794,146248,396167,446192,714528
"1384 Kungsbacka","Net profit/loss for the year",-95630,4099,-29921,73621,236189,44281,97502,134717,194895,139667,79429,124963,215552,102440,133992,198677,117015,45923,26009,131462,109794,146248,396167,446192,714528
"1401 Härryda","Total income for operations",197721,218074,237753,281281,247961,279113,296744,330111,340548,355242,366846,363264,415134,399769,419242,427071,458707,479711,593845,608283,616823,643777,662574,616299,789919
"1401 Härryda","Total costs for operations",-872304,-941455,-1009600,-1071072,-1150314,-1222025,-1269607,-1348850,-1440611,-1506066,-1622571,-1709486,-1806518,-1862656,-1917456,-1943103,-2026356,-2138844,-2335056,-2460951,-2569453,-2630893,-2615799,-2650216,-2945003
"1401 Härryda","Total net current costs",-726665,-783626,-842347,-894893,-990024,-1041559,-1071806,-1112203,-1185072,-1248208,-1361330,-1416014,-1464805,-1543462,-1585792,-1607956,-1663324,-1763786,-1852212,-1971247,-2081415,-2115125,-2083774,-2158250,-2282726
"1401 Härryda","Tax revenues",679030,748161,829968,908945,972713,1025299,1064972,1095087,1171100,1237374,1312745,1340763,1370025,1440959,1478249,1560983,1595304,1682834,1783806,1890343,1942391,2016136,2041609,2150825,2263358
"1401 Härryda","General grants and equalisation grants",57217,57080,55564,51582,46567,46268,36082,76536,81195,91373,104755,119166,172207,164672,161823,167484,173940,167415,166182,165689,161625,193446,265140,255807,305339
"1401 Härryda","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94457,222975,248382,285971
"1401 Härryda","Financial income",4052,3743,4200,4448,2655,3400,3900,2997,2735,3677,4975,9201,4689,2979,2092,3838,3612,1791,3656,3512,5293,4627,14545,19008,18331
"1401 Härryda","Financial costs",-20266,-16268,-15900,-16786,-14895,-17118,-15818,-14357,-11393,-9701,-11151,-11435,-10439,-19782,-17915,-30877,-11617,-9656,-9391,-9637,-10994,-13345,-14407,-11924,-9055
"1401 Härryda","Net profit/loss after financial items",-7046,8141,30685,52982,16422,15508,16548,47102,57417,73151,25728,38209,70470,45366,38457,93472,97915,78598,92041,78660,16900,85739,223113,255466,295247
"1401 Härryda","Net profit/loss for the year",-7046,8141,30685,52982,16422,15508,16548,47102,57417,73151,25728,38209,70470,45366,38457,93472,97915,78598,92041,78660,16900,85739,223113,255466,295247
"1402 Partille","Total income for operations",222000,234811,206318,222069,220676,261494,280991,289856,304842,301467,331593,369484,429494,358456,402565,425300,398403,470418,562832,550554,486406,524997,511066,569480,634812
"1402 Partille","Total costs for operations",-1077442,-1148002,-1172554,-1269464,-1319913,-1382754,-1368110,-1412980,-1486247,-1570161,-1665998,-1751131,-1894378,-1878991,-1986470,-2029100,-2100798,-2233179,-2391952,-2467221,-2483915,-2562160,-2655133,-2700843,-2668921
"1402 Partille","Total net current costs",-927101,-965834,-988007,-1074118,-1154720,-1179158,-1143826,-1197474,-1244597,-1347156,-1410776,-1420147,-1502184,-1559377,-1624451,-1645500,-1756384,-1805823,-1884917,-1986086,-2067044,-2108841,-2230286,-2230588,-2271261
"1402 Partille","Tax revenues",776226,821296,903665,974622,1030282,1083945,1107228,1135839,1189811,1249997,1315335,1332567,1340840,1381598,1411101,1485885,1540969,1618822,1715091,1800917,1862883,1929552,1957475,2070222,2207199
"1402 Partille","General grants and equalisation grants",100869,105123,108713,108644,107655,91400,54535,93407,88377,109238,107206,113883,182669,197291,196714,194175,195332,187455,200761,207009,208586,230717,340900,305991,294103
"1402 Partille","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51428,68089,145625,230041
"1402 Partille","Financial income",12233,10736,8712,6500,5800,16500,9998,6498,7749,11462,14838,22500,11100,78928,58985,19000,47590,22240,16884,191032,24905,55262,8986,118878,33494
"1402 Partille","Financial costs",-916,-359,-1599,-6500,-15500,-500,-332,-431,-26,-27,-8702,-414,-945,-68460,-6437,-17300,-1909,-4852,-2749,-3035,-4511,-5209,-7852,-4899,-109874
"1402 Partille","Net profit/loss after financial items",-38789,-29918,29967,9148,-26483,12187,27603,37839,41314,23514,17901,45203,30401,29980,35912,36260,25598,17842,45070,209837,24819,101481,69223,259604,153661
"1402 Partille","Net profit/loss for the year",-38789,19851,29967,9148,-26483,12187,27603,37839,41314,23514,17901,45203,30401,29980,35912,36260,25598,17842,45070,209837,24819,101481,69223,259604,153661
"1407 Öckerö","Total income for operations",97899,97899,106168,104728,111711,124329,134606,127373,141003,142187,142238,166379,163890,165461,193278,194685,184704,206411,270080,251266,246272,245623,258117,254660,284881
"1407 Öckerö","Total costs for operations",-383781,-390010,-423041,-439032,-469403,-493680,-523234,-546981,-578008,-608945,-637164,-676199,-691852,-722126,-751287,-763593,-796817,-848269,-924472,-955426,-973744,-989863,-995514,-1024337,-1047311
"1407 Öckerö","Total net current costs",-309321,-323784,-346616,-361299,-386179,-398032,-411805,-439620,-458264,-490862,-520086,-520666,-539807,-569152,-570984,-582581,-626010,-657071,-670196,-722150,-748459,-767613,-763977,-797726,-791111
"1407 Öckerö","Tax revenues",239229,260368,287029,312350,328055,345774,375833,392012,422359,445161,471323,482486,484255,501904,509656,534068,549165,573020,605059,647348,663604,685362,696582,733334,767770
"1407 Öckerö","General grants and equalisation grants",59244,59093,59769,56901,60117,59102,43697,48391,46432,52585,51514,51139,68980,75947,71045,66806,83716,80079,74430,74922,77989,87743,100609,107381,93143
"1407 Öckerö","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5492,33214,42989,69802
"1407 Öckerö","Financial income",818,405,540,772,273,361,2172,2051,2370,3510,4074,2318,1966,2672,2469,2004,1802,1152,988,7458,3583,2018,5921,6983,4570
"1407 Öckerö","Financial costs",-1832,-1909,-1763,-3811,-3545,-3472,-454,-77,-84,-48,-53,-1,-4,-1367,-2072,-6696,-884,-1180,-829,-1833,-1965,-2984,-2250,-1843,-2968
"1407 Öckerö","Net profit/loss after financial items",-12036,-6231,-2868,4630,-1741,3256,8927,2325,12328,9799,5844,13601,14753,10004,10114,13601,7789,-4000,9452,5746,-5248,4526,36885,48129,71404
"1407 Öckerö","Net profit/loss for the year",-12036,-6231,-2868,4630,-1741,3256,8927,2325,12328,9799,5844,13601,14753,10004,10114,13601,7789,-4000,9452,5746,-5248,4526,36885,48129,71404
"1415 Stenungsund","Total income for operations",176098,179866,176047,188999,199178,206935,219373,224700,238472,236564,268346,316320,294095,298262,318589,328781,336294,359564,444292,473691,448286,459375,463980,459698,492197
"1415 Stenungsund","Total costs for operations",-615918,-658529,-705431,-769345,-812331,-870739,-907587,-951965,-1036750,-1073562,-1153813,-1209963,-1230737,-1311128,-1357357,-1414341,-1486858,-1574058,-1748147,-1773465,-1815143,-1904119,-1897513,-2021784,-2137248
"1415 Stenungsund","Total net current costs",-485446,-519387,-565237,-621867,-656635,-714019,-739423,-789642,-854475,-905585,-957088,-946817,-990986,-1072418,-1101030,-1145907,-1213694,-1283658,-1377969,-1380814,-1449595,-1524959,-1516328,-1650140,-1743007
"1415 Stenungsund","Tax revenues",476718,512218,559448,605036,637353,696490,726214,775336,825404,876514,928267,953091,973455,1025283,1040490,1095733,1127876,1191174,1257763,1332388,1374358,1430354,1452947,1522680,1611309
"1415 Stenungsund","General grants and equalisation grants",41731,30325,33187,39789,49037,56590,44051,51087,47757,53448,53218,60436,107876,91381,105845,102689,122215,120446,148774,134078,139830,150327,197862,209403,232168
"1415 Stenungsund","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55722,134481,81943,100470
"1415 Stenungsund","Financial income",19643,19790,17184,13548,12337,12445,11785,12670,10937,11938,6946,8775,6850,8419,7574,6943,6269,5062,98496,4962,7519,5776,5181,3490,4313
"1415 Stenungsund","Financial costs",-50317,-49645,-42613,-39029,-38304,-34512,-30656,-26562,-22992,-24148,-22239,-18957,-17464,-22451,-15892,-20474,-11759,-12580,-14712,-26824,-18208,-8252,-8341,-5928,-23620
"1415 Stenungsund","Net profit/loss after financial items",1697,-7680,1301,-2828,3470,16605,11480,22291,6115,11647,8511,55872,78983,30214,36987,38984,30907,20444,112352,63790,53904,53246,131321,79505,81163
"1415 Stenungsund","Net profit/loss for the year",1697,-7680,1301,-2828,3470,16605,11480,22291,10615,23048,8511,55872,78983,30214,36987,38984,30907,20444,112352,63790,53904,53246,131321,79505,81163
"1419 Tjörn","Total income for operations",112061,116397,122181,133674,141400,158717,168032,177146,189527,202582,226381,186185,191177,195716,291040,253757,214001,241536,330507,316162,288916,270403,262199,271322,297932
"1419 Tjörn","Total costs for operations",-461419,-491087,-499779,-530932,-574568,-615964,-628035,-661518,-689785,-732026,-801028,-793353,-801016,-822717,-925409,-889945,-900294,-953368,-1080202,-1114897,-1131540,-1148649,-1153032,-1180140,-1285672
"1419 Tjörn","Total net current costs",-379970,-403928,-407796,-429122,-466164,-489682,-494419,-522774,-538066,-577529,-616010,-623991,-627550,-646755,-656666,-662376,-713492,-745005,-786371,-835872,-882919,-918821,-933482,-954184,-1035589
"1419 Tjörn","Tax revenues",302468,321914,361564,401316,417543,439829,459799,501692,540385,566895,598633,604743,611214,637102,645544,664394,679830,713322,749507,811282,832625,867961,866676,913065,959010
"1419 Tjörn","General grants and equalisation grants",62244,62536,53186,50782,63369,55115,35377,31864,17154,17876,11246,16577,34930,32285,25415,27911,50563,38890,49136,50024,54733,56715,116030,122658,136582
